set IS:=
1 1
1 2
1 3
2 1
2 3
3 2
3 3;

set IP:=
1 1
1 2
1 3
1 4
1 5
2 1
2 2
2 3
2 4
3 2
3 3
3 5;

set JP:=
1 1
1 4
2 1
2 2
2 3
2 4
3 2
3 3
3 5
4 3
4 5;

set ISP := 
1 1 1
1 2 1
1 3 1
1 1 2
1 2 2
1 3 2
1 1 3
1 2 3
1 3 3
1 1 4
1 2 4
1 3 4
1 1 5
1 2 5
1 3 5
2 1 1
2 3 1
2 1 2
2 3 2
2 1 3
2 3 3
2 1 4
2 3 4
3 2 2
3 3 2
3 2 3
3 3 3
3 2 5
3 3 5;
param alphaC :=
1 1 1.5e6
1 4 1.5e6
2 1 1e6
2 2 1.2e6
2 3 1.2e6
2 4 1e6
3 2 1e6
3 3 1e6
3 5 1e6
4 3 1.2e6
4 5 1e6;

param betaC :=
1 1 30
1 4 30
2 1 40
2 2 40
2 3 40
2 4 40
3 2 30
3 3 30
3 5 30
4 3 35 
4 5 30;

param U:=
1 1 10000
1 2 20000
1 3 20000
2 1 20000
2 3 30000
3 2 20000
3 3 20000;

param CAP :=
1 1 3000
1 4 4000
2 1 3000
2 2 1500
2 3 2500
2 4 4000
3 2 1500
3 3 2500
3 5 1500
4 3 2500
4 5 1500;


param rho:=
1 1 1 1.2
1 1 4 1.2
1 2 1 0.6
1 2 2 0.6
1 2 4 0.6
1 3 3 1.5
1 3 5 1.5
1 4 3 0.8
1 4 5 0.7
2 2 1 0.8
2 2 2 0.8
2 2 3 1.3
2 2 4 0.8
3 3 2 1.1
3 4 3 0.8
3 4 5 0.7;

param betaS :=
1 1 200
1 2 250
1 3 150
2 1 300
2 3 200
3 2 250
3 3 150;

param betaP :=
1 1 100
1 4 150
2 1 150
2 2 70
2 3 100
2 4 100
3 2 100
3 3 150
3 5 80
4 3 80
4 5 50;

param alphaSP :=
1 1 5000
1 2 5000
1 3 5000
1 4 5000
1 5 10000
2 1 5000
2 2 5000
2 3 5000
2 4 5000
2 5 10000
3 1 10000
3 2 5000
3 3 5000
3 4 10000
3 5 5000;

param betaSP :=
1 1 20
1 2 20
1 3 30
1 4 50
1 5 70
2 1 20
2 2 30
2 3 20
2 4 20
2 5 60
3 1 90
3 2 50
3 3 50
3 4 55
3 5 20;

param alphaPC :=
1 1 4000
1 2 4000
1 3 4000
1 4 8000
1 5 8000
1 6 8000
1 7 8000
1 8 8000
1 9 4000
1 10 4000
1 11 4000
1 12 4000
2 1 4000
2 2 4000
2 3 4000
2 4 4000
2 5 4000
2 6 4000
2 7 8000
2 8 8000
2 9 8000
2 10 8000
2 11 4000
2 12 4000
3 1 10000
3 2 5000
3 3 5000
3 4 5000
3 5 5000
3 6 5000
3 7 5000
3 8 5000
3 9 5000
3 10 5000
3 11 5000
3 12 5000
4 1 10000
4 2 10000
4 3 10000
4 4 10000
4 5 5000
4 6 5000
4 7 5000
4 8 5000
4 9 5000
4 10 5000
4 11 5000
4 12 5000
5 1 6000
5 2 6000
5 3 6000
5 4 3000
5 5 3000
5 6 3000
5 7 3000
5 8 3000
5 9 3000
5 10 6000
5 11 6000
5 12 3000;

param betaPC :=
1 1 20
1 2 20
1 3 40
1 4 60
1 5 60
1 6 60
1 7 90
1 8 70
1 9 40
1 10 20
1 11 20
1 12 40
2 1 50
2 2 40
2 3 20
2 4 20
2 5 35
2 6 45
2 7 70
2 8 60
2 9 60
2 10 60
2 11 30
2 12 15
3 1 60
3 2 50
3 3 50
3 4 40
3 5 25
3 6 25
3 7 50
3 8 30
3 9 30
3 10 45
3 11 15
3 12 15
4 1 60
4 2 60
4 3 70
4 4 60
4 5 50
4 6 30
4 7 45
4 8 20
4 9 10
4 10 40
4 11 35
4 12 40
5 1 95
5 2 85
5 3 75
5 4 50
5 5 30
5 6 25
5 7 20
5 8 30
5 9 50
5 10 85
5 11 65
5 12 50;


param D :=
1 1 700.0
2 1 700.0
3 1 0.0
4 1 0.0
1 2 0.0
2 2 0.0
3 2 700.0
4 2 350.0
1 3 1400.0
2 3 1050.0
3 3 560.0
4 3 560.0
1 4 840.0
2 4 1050.0
3 4 560.0
4 4 350.0
1 5 0.0
2 5 1400.0
3 5 0.0
4 5 700.0
1 6 1680.0
2 6 350.0
3 6 350.0
4 6 0.0
1 7 0.0
2 7 0.0
3 7 1400.0
4 7 0.0
1 8 0.0
2 8 700.0
3 8 700.0
4 8 0.0
1 9 700.0
2 9 1050.0
3 9 0.0
4 9 560.0
1 10 0.0
2 10 700.0
3 10 0.0
4 10 560.0
1 11 700.0
2 11 700.0
3 11 700.0
4 11 350.0
1 12 840.0
2 12 1400.0
3 12 1050.0
4 12 700.0
;
param p :=0.25;
param pix :=3 2 0.000369508639723
3 3 -0.0
4 5 0.00140434447251
2 1 -6.82053680204e-05
1 1 -0.0013990084285
2 3 -0.001868971641
1 4 -0.0
4 3 -0.0
2 2 -0.000752696604146
2 4 -0.00111797097488
3 5 -0.000369508639723
;
param piEX :=3 2 -6.44887395994
3 3 -0.0
4 5 1.59519528042
2 1 -0.371440433887
1 1 -8.0303083796
2 3 -10.1636551561
1 4 1.8125231374e-18
4 3 -0.0
2 2 -5.6095017324
2 4 -7.77475375957
3 5 -2.09880907363
;
